Date,kpop,BTS,BLACKPINK,PSY,EXO,DAY6,Girls' Gen,BIGBANG,MAMAMOO,MOMOLAND,GOT7,Stray Kids,TXT,ITZY,ENHYPEN,GI-DLE,The Beatles
20-Oct,92012,1833120,964244,38684,65291,42013,16640,13846,75342,16709,58500,231573,63981,49314,40100,4152,172381
20-Nov,90717,1751040,501407,38684,90164,37038,16640,13846,83848,22557,74750,219167,67602,48242,66834,5535,158590
20-Dec,98492,1668960,482122,38684,80836,28193,19200,15000,82633,22557,74750,243978,62774,53602,120301,6919,186171
21-Jan,94604,1368000,501407,46421,71509,31510,15360,15000,70481,45114,120250,227437,61566,53602,93567,7196,172381
21-Feb,94604,1313280,530334,46421,71509,26535,16640,15000,59544,24228,65000,223302,67602,57890,100251,5812,165486
21-Mar,103676,1641600,414625,38684,65291,32063,15360,12692,57114,19215,47125,190220,63981,55746,84656,7196,158590
21-Apr,97196,1586880,376055,38684,65291,28193,14080,13846,59544,18380,40625,219167,62774,66467,115845,5259,165486
21-May,93308,2380320,356770,38684,65291,23218,15360,13846,54684,19215,39000,177815,65188,91124,180451,4428,165486
21-Jun,104972,2216160,385697,38684,74618,22112,15360,12692,68051,16709,40625,231573,103818,84692,222779,7750,151695
21-Jul,108860,1641600,404982,38684,68400,24876,16640,13846,54684,18380,35750,202626,82089,72899,169312,4705,165486
21-Aug,94604,1313280,395340,38684,65291,18243,17920,13846,57114,27570,30875,194356,88125,61107,131440,8580,158590
21-Sep,77757,1368000,376055,46421,52855,17690,16640,10385,43747,18380,26000,161274,76053,73971,118073,3875,151695
21-Oct,77757,1340640,318200,38684,46636,18243,14080,11538,37671,20886,24375,144733,67602,84692,126984,0,172381
21-Nov,88125,1696320,318200,38684,68400,21560,14080,11538,34025,21722,22750,148868,70017,78259,120301,2768,310286
21-Dec,98492,1833120,327843,38684,62182,18243,16640,10385,36456,23392,24375,181950,74846,81476,142579,5259,330971
22-Jan,106268,1395360,308558,46421,62182,41461,19200,11538,42532,35924,29250,186085,78467,82548,173768,2768,241333
22-Feb,97196,1313280,269988,46421,62182,14373,19200,15000,36456,29241,24375,173679,78467,77187,135895,2768,234438
22-Mar,101084,1477440,298916,46421,68400,12715,19200,16154,44962,25063,22750,310142,79674,68611,111390,12178,199962
22-Apr,104972,2079360,318200,69632,65291,14373,16640,35769,40101,20051,27625,401117,90539,69683,115845,10241,220648
22-May,104972,1368000,298916,77368,59073,11056,20480,13846,37671,17544,50375,289466,120719,62179,115845,12455,206857
22-Jun,106268,1805760,269988,46421,55964,12162,16640,11538,35241,17544,35750,318412,90539,83620,126984,11071,193067
22-Jul,129595,1313280,308558,46421,65291,12162,26880,11538,35241,25899,34125,413522,114683,107205,202729,12455,199962
22-Aug,116636,1094400,655686,46421,59073,14373,55040,11538,30380,20051,24375,248113,84503,94340,193818,8303,179276
22-Sep,90717,930240,790680,46421,55964,11609,20480,11538,29165,14203,19500,219167,70017,63251,129212,5259,186171
22-Oct,93308,1258560,520692,46421,49745,8845,16640,9231,52253,16709,17875,293601,68810,69683,171540,9964,172381
22-Nov,98492,1012320,597831,46421,55964,9951,17920,10385,44962,14203,17875,293601,72431,90052,106934,16329,165486
22-Dec,102380,1012320,356770,46421,59073,12162,19200,12692,36456,14203,19500,293601,70017,77187,118073,13008,165486
23-Jan,107564,930240,395340,46421,59073,9398,17920,15000,36456,19215,19500,306007,106232,67539,95795,14115,179276
23-Feb,99788,930240,318200,54158,59073,8292,16640,10385,36456,20051,16250,301871,118304,58963,95795,12178,193067
23-Mar,97196,875520,298916,46421,65291,8845,15360,10385,106937,12532,14625,334953,94160,56818,89112,4982,172381
23-Apr,116636,820800,771395,46421,65291,9398,14080,10385,71696,11696,16250,310142,94160,53602,106934,7196,186171
23-May,112748,793440,482122,54158,65291,8292,12800,11538,115443,12532,16250,264654,119511,50386,144806,23526,172381
23-Jun,108860,793440,414625,46421,62182,8845,16640,11538,70481,14203,13000,380441,86917,52530,182679,22142,172381
23-Jul,124411,711360,482122,46421,71509,8292,19200,10385,42532,12532,14625,339088,88125,65395,218323,19928,151695
23-Aug,104972,601920,732825,46421,52855,8292,19200,8077,38886,9190,11375,277060,80881,70755,135895,22418,151695
23-Sep,94604,601920,404982,54158,49745,6634,15360,9231,26734,8354,13000,330818,79674,53602,124756,10241,151695
23-Oct,89421,547200,308558,54158,49745,7187,14080,9231,23089,8354,11375,268790,85710,50386,220551,11901,172381
23-Nov,101084,629280,289273,46421,52855,7739,17920,10385,20658,9190,9750,355629,70017,55746,209412,9410,282705
23-Dec,102380,684000,298916,46421,52855,8292,17920,10385,24304,9190,11375,326683,66395,69683,178223,11071,186171
24-Jan,104972,601920,241061,46421,46636,8845,15360,10385,18228,13367,13000,343224,70017,83620,142579,12731,172381
24-Feb,90717,547200,183206,54158,49745,7739,14080,8077,17013,10861,11375,260519,72431,81476,202729,12455,199962
